Identifier,Property,Value,Std,N,Name,Reference,Comment
1,activity coefficient in acetone @283K,0.946,,,Manuel Minas da Piedade,"Cryst. Growth Des. 2021, 21, 544-551",Calculated values from fit
2,activity coefficient in acetone @288K,0.9424,,,Manuel Minas da Piedade,"Cryst. Growth Des. 2021, 21, 544-551",Calculated values from fit
3,activity coefficient in acetone @293K,0.9434,,,Manuel Minas da Piedade,"Cryst. Growth Des. 2021, 21, 544-551",Calculated values from fit
4,activity coefficient in acetone @298K,0.9488,,,Manuel Minas da Piedade,"Cryst. Growth Des. 2021, 21, 544-551",Calculated values from fit
5,activity coefficient in acetone @303K,0.9589,,,Manuel Minas da Piedade,"Cryst. Growth Des. 2021, 21, 544-551",Calculated values from fit
6,activity coefficient in acetone @308K,0.9734,,,Manuel Minas da Piedade,"Cryst. Growth Des. 2021, 21, 544-551",Calculated values from fit
