Identifier,Property,Value,Std,N,Name,Reference,Comment
1,activity coefficient in ethyl acetate @283K,2.3071,,,Manuel Minas da Piedade,"Cryst. Growth Des. 2021, 21, 544-551",Calculated values from fit
2,activity coefficient in ethyl acetate @288K,2.1921,,,Manuel Minas da Piedade,"Cryst. Growth Des. 2021, 21, 544-551",Calculated values from fit
3,activity coefficient in ethyl acetate @293K,2.0934,,,Manuel Minas da Piedade,"Cryst. Growth Des. 2021, 21, 544-551",Calculated values from fit
4,activity coefficient in ethyl acetate @298K,2.0111,,,Manuel Minas da Piedade,"Cryst. Growth Des. 2021, 21, 544-551",Calculated values from fit
5,activity coefficient in ethyl acetate @303K,1.9452,,,Manuel Minas da Piedade,"Cryst. Growth Des. 2021, 21, 544-551",Calculated values from fit
6,activity coefficient in ethyl acetate @308K,1.8956,,,Manuel Minas da Piedade,"Cryst. Growth Des. 2021, 21, 544-551",Calculated values from fit
